Field=Comment~String~Comment~135|Field=Description~String~Description~151|Field=Designator~String~Designator~131|Field=Footprint~String~Footprint~172|Field=Quantity~Integer~Quantity~87|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCBLaserControlBoardV1.0.PrjPcb|ReportField=ProjectFullPath~C:\Users\FxSlava\Documents\Laser-LED-STM-Board-Project\LaserControlBoard\PCBLaserControlBoardV1.0.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [LaserControlBoard (extended).PcbDoc]|ReportField=TotalQuantity~444|ReportField=ReportTime~10:22:58 AM|ReportField=ReportDate~8/2/2016|ReportField=ReportDateTime~8/2/2016 10:22:58 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~LaserControlBoard (extended).PcbDoc|ReportField=DataSourceFullPath~C:\Users\FxSlava\Documents\Laser-LED-STM-Board-Project\LaserControlBoard\LaserControlBoard (extended).PcbDoc
ChipRes|Chip resistor|BOOT1, ETH1, R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159, R160, R161, R162, R163, R164, R165, R166, R167, R168, R169, R170, R171, R172, R173, R174, R175, R176, R177, R178, R179, R180, R181, R182, R183, R184, R185, R186, R187, R188, R189, R190, R191, R192, R193, R194, R195, R196, R197, R198, R199, WIFI1|RES0805|202
ChipCap|Capacitor|C1, C3, C4, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C23, C24, C25, C29, C30, C32, C33, C34, C36, C37, C38, C39, C40, C41, C42, C43, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67|CAP0805|56
ChipCap|Capacitor|C2, C5, C26, C28|CAP1210|4
Cap Pol SMD|Polarized Capacitor (Radial)|C21, C27, C31, C35, C46|CAPC7343|5
Cap Pol 25/100|Polarized Capacitor (Radial)|C44, C45|CAPPR2.5-6.3x11.5_1|2
HY911105A|HY911105A|CN1|HR911105A|1
Diode Schottky|2-Diode Schottky|D1, D2, D8, D9, D10, D12, D13, D15, D23, D25|SOT23|10
TVS Diode|TVS Diode|D3, D4, D5, D6, D7, D16, D22|DO-214AS|7
Diode chip|Diode chip|D11, D21|SMB1|2
TVS|Dual bidirectional voltage supresor|D14, D24|SOT23|2
