Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

L5         IHPL-3232             3.714mm      90.944mm       3.714mm      90.944mm      0.1013mm      90.944mm  T          0.00 Inductance     
L9         CM45                144.557mm      98.183mm     144.557mm      98.183mm     144.557mm      95.778mm  B         90.00 Inductance     
L8         CM45                146.716mm      73.164mm     146.716mm      73.164mm     146.716mm      75.569mm  B        270.00 Inductance     
L7         CM45                145.065mm     120.789mm     145.065mm     120.789mm     145.065mm     118.384mm  B         90.00 Inductance     
L6         CM45                140.493mm     143.141mm     140.493mm     143.141mm     138.088mm     143.141mm  B        360.00 Inductance     
RUN1       LED_0603             77.755mm     146.062mm      77.755mm     146.062mm      77.755mm     145.312mm  T         90.00 LED 0603       
PWR1       LED_0603             75.215mm     146.062mm      75.215mm     146.062mm      75.215mm     145.312mm  T         90.00 LED 0603       
LINK1      LED_0603             72.675mm     146.062mm      72.675mm     146.062mm      72.675mm     145.312mm  T         90.00 LED 0603       
U7         SOIC8                  44.1mm      130.06mm        44.1mm      130.06mm        46.5mm     128.155mm  T        180.00 IR2104         
U10        TO-220                46.64mm     114.185mm       46.64mm     114.185mm       46.64mm     111.645mm  T         90.00 LM7812         
C15        CAPC7343              39.02mm      117.36mm       39.02mm      117.36mm       42.52mm      117.36mm  T        180.00 Cap Pol SMD    
C20        CAPC7343              39.02mm     111.645mm       39.02mm     111.645mm       42.52mm     111.645mm  T        180.00 Cap Pol SMD    
C34        CAPPR7.5-16x25_1      14.255mm      43.192mm      14.255mm      43.192mm      11.005mm      43.192mm  T        360.00 Cap Pol 200/100
C18        CAPPR5-10x17_1        16.16mm      109.74mm       16.16mm      109.74mm       13.66mm      109.74mm  T          0.00 Cap Pol 100/47 
U46        D014_N                98.71mm      113.55mm       98.71mm      113.55mm      101.11mm      117.36mm  B        180.00 SN74AC04D      
C17        CAP0805              93.757mm      117.36mm      93.757mm      117.36mm      94.932mm      117.36mm  T        180.00 ChipCap        
D13        DO-214AS            156.495mm       50.05mm     156.495mm       50.05mm     156.495mm       52.15mm  T        270.00 TVS Diode      
D14        DO-214AS            156.495mm       42.43mm     156.495mm       42.43mm     156.495mm       44.53mm  T        270.00 TVS Diode      
R156       RES1206              91.725mm       1.155mm      91.725mm       1.155mm        90.3mm       1.155mm  B          0.00 ChipRes        
C61        CAP0805               145.7mm      92.595mm       145.7mm      92.595mm     144.525mm      92.595mm  B        360.00 ChipCap        
C53        CAP0805               145.7mm       79.26mm       145.7mm       79.26mm     144.525mm       79.26mm  B        360.00 ChipCap        
C43        CAP0805             145.573mm      116.09mm     145.573mm      116.09mm     144.398mm      116.09mm  B        360.00 ChipCap        
C42        CAP0805              143.16mm      140.22mm      143.16mm      140.22mm     141.985mm      140.22mm  B        360.00 ChipCap        
R1         RES1206               58.07mm     145.935mm       58.07mm     145.935mm       58.07mm      144.51mm  T         90.00 ChipRes        
U27        DIP-4                43.465mm      55.765mm      43.465mm      55.765mm      44.735mm      59.575mm  T        270.00 Optoisolator1  
R88        RES1206              44.735mm      63.385mm      44.735mm      63.385mm      44.735mm       61.96mm  T         90.00 ChipRes        
R107       RES1206              44.735mm      48.145mm      44.735mm      48.145mm      44.735mm       49.57mm  T        270.00 ChipRes        
R123       RES1206             126.015mm        43.7mm     126.015mm        43.7mm     126.015mm      45.125mm  T        270.00 ChipRes        
X1         BCY-W2/E4.7         106.965mm      98.945mm     106.965mm      98.945mm     106.965mm      96.505mm  T         90.00 XTAL           
U13        LQFP144               84.74mm      93.865mm       84.74mm      93.865mm       93.49mm      83.265mm  T        180.00 STM32F407      
R128       RES1206             138.715mm        43.7mm     138.715mm        43.7mm     138.715mm      42.275mm  T         90.00 ChipRes        
R129       RES1206             141.255mm        43.7mm     141.255mm        43.7mm     141.255mm      45.125mm  T        270.00 ChipRes        
R122       RES1206             123.475mm        43.7mm     123.475mm        43.7mm     123.475mm      42.275mm  T         90.00 ChipRes        
R124       RES1206             128.555mm        43.7mm     128.555mm        43.7mm     128.555mm      42.275mm  T         90.00 ChipRes        
R125       RES1206             131.095mm        43.7mm     131.095mm        43.7mm     131.095mm      45.125mm  T        270.00 ChipRes        
R126       RES1206             133.635mm        43.7mm     133.635mm        43.7mm     133.635mm      42.275mm  T         90.00 ChipRes        
R127       RES1206             136.175mm        43.7mm     136.175mm        43.7mm     136.175mm      45.125mm  T        270.00 ChipRes        
R151       RES1206              99.091mm      98.691mm      99.091mm      98.691mm      99.091mm     100.116mm  B        270.00 ChipRes        
R45        RES1206             103.155mm      95.135mm     103.155mm      95.135mm     103.155mm       96.56mm  T        270.00 ChipRes        
R152       RES1206               91.49mm      83.265mm       91.49mm      83.265mm       91.49mm       84.69mm  B        270.00 ChipRes        
R80        RES1206              56.673mm      66.179mm      56.673mm      66.179mm      56.673mm      64.754mm  T         90.00 ChipRes        
R40        RES1206              101.25mm     102.755mm      101.25mm     102.755mm     102.675mm     102.755mm  T        180.00 ChipRes        
R153       RES1206               89.49mm      83.265mm       89.49mm      83.265mm       89.49mm       84.69mm  B        270.00 ChipRes        
Q22        SOT23               139.985mm       48.78mm     139.985mm       48.78mm     139.035mm       47.58mm  T         90.00 BC857          
Q19        SOT23               124.745mm       48.78mm     124.745mm       48.78mm     123.795mm       47.58mm  T         90.00 BC857          
Q20        SOT23               129.825mm       48.78mm     129.825mm       48.78mm     128.875mm       47.58mm  T         90.00 BC857          
Q21        SOT23               134.905mm       48.78mm     134.905mm       48.78mm     133.955mm       47.58mm  T         90.00 BC857          
LED6       PLCC-2              139.985mm      54.495mm     139.985mm      54.495mm     139.985mm      55.995mm  T        270.00 LED 0603       
LED3       PLCC-2              124.745mm      54.495mm     124.745mm      54.495mm     124.745mm      55.995mm  T        270.00 LED 0603       
LED4       PLCC-2              129.825mm      54.495mm     129.825mm      54.495mm     129.825mm      55.995mm  T        270.00 LED 0603       
LED5       PLCC-2              134.905mm      54.495mm     134.905mm      54.495mm     134.905mm      55.995mm  T        270.00 LED 0603       
LED2       LED_0603             54.895mm      75.958mm      54.895mm      75.958mm      54.895mm      75.208mm  T         90.00 LED 0603       
L4         CM45                  97.44mm     107.835mm       97.44mm     107.835mm      95.035mm     107.835mm  T        360.00 Inductance     
C23        CAP0805             110.775mm     101.485mm     110.775mm     101.485mm     110.775mm      100.31mm  T         90.00 ChipCap        
C60        CAP0805               37.75mm      79.895mm       37.75mm      79.895mm      36.575mm      79.895mm  B        360.00 ChipCap        
C19        CAPC7343              98.71mm      112.28mm       98.71mm      112.28mm       95.21mm      112.28mm  T        360.00 Cap Pol SMD    
C55        CAP0805              76.485mm       85.61mm      76.485mm       85.61mm      76.485mm      84.435mm  B         90.00 ChipCap        
C57        CAP0805              81.565mm       85.61mm      81.565mm       85.61mm       82.74mm       85.61mm  B        180.00 ChipCap        
C56        CAP0805              86.645mm       85.61mm      86.645mm       85.61mm       87.82mm       85.61mm  B        180.00 ChipCap        
C58        CAP0805               93.63mm      83.197mm       93.63mm      83.197mm       93.63mm      84.372mm  B        270.00 ChipCap        
C54        CAP0805              92.995mm      88.277mm      92.995mm      88.277mm      92.995mm      87.102mm  B         90.00 ChipCap        
C24        CAP0805             110.775mm       97.04mm     110.775mm       97.04mm     110.775mm      98.215mm  T        270.00 ChipCap        
C50        CAP0805              95.408mm       95.77mm      95.408mm       95.77mm      96.583mm       95.77mm  B        180.00 ChipCap        
C51        CAP0805              92.995mm      92.595mm      92.995mm      92.595mm      92.995mm       93.77mm  B        270.00 ChipCap        
C48        CAP0805              92.995mm      98.945mm      92.995mm      98.945mm      92.995mm       97.77mm  B         90.00 ChipCap        
C45        CAP0805              91.852mm      102.12mm      91.852mm      102.12mm      90.677mm      102.12mm  B        360.00 ChipCap        
C46        CAP0805              86.645mm      102.12mm      86.645mm      102.12mm       85.47mm      102.12mm  B        360.00 ChipCap        
C47        CAP0805                82.2mm      102.12mm        82.2mm      102.12mm      81.025mm      102.12mm  B        360.00 ChipCap        
C59        CAP0805               73.31mm      81.673mm       73.31mm      81.673mm      74.485mm      81.673mm  B        180.00 ChipCap        
C44        CAP0805              78.898mm     105.168mm      78.898mm     105.168mm      78.898mm     103.993mm  B         90.00 ChipCap        
C49        CAP0805              76.485mm       97.04mm      76.485mm       97.04mm      76.485mm      95.865mm  B         90.00 ChipCap        
Q25        SOT23                80.295mm       38.62mm      80.295mm       38.62mm      79.345mm       37.42mm  T         90.00 BC847          
R93        RES1206               73.31mm      63.131mm       73.31mm      63.131mm       73.31mm      61.706mm  T         90.00 ChipRes        
R112       RES1206             73.3092mm      48.145mm     73.3092mm      48.145mm     73.3092mm       49.57mm  T        270.00 ChipRes        
R133       RES1206               79.66mm          31mm       79.66mm          31mm       79.66mm      32.425mm  T        270.00 ChipRes        
R137       RES1206               79.66mm      21.475mm       79.66mm      21.475mm       79.66mm       20.05mm  T         90.00 ChipRes        
LED9       LED_0603               82.2mm      21.475mm        82.2mm      21.475mm        82.2mm      22.225mm  T        270.00 LED 0603       
U32        DIP-4               72.0392mm      55.765mm     72.0392mm      55.765mm     73.3092mm      59.575mm  T        270.00 Optoisolator1  
Q29        SOT23                 80.93mm       25.92mm       80.93mm       25.92mm       79.73mm       26.87mm  T        360.00 BC847          
D17        DO-41                92.995mm       41.16mm      92.995mm       41.16mm      87.765mm       41.16mm  T        360.00 Diode 1N4007   
P11        Molex_FPC/FFC_10pin       2.285mm      55.765mm        0.92mm      55.765mm        3.46mm      51.265mm  B         90.00 FPC_Socket     
