Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U54        SOP8                113.665mm       -7.62mm     113.665mm       -7.62mm     111.265mm      -9.525mm  B        360.00 ESDA6V1U1      
U53        SOP8                 124.46mm        8.89mm      124.46mm        8.89mm     122.555mm       11.29mm  B        270.00 ESDA6V1U1      
U10        SOP8                 138.43mm        8.89mm      138.43mm        8.89mm     136.525mm       11.29mm  B        270.00 ESDA6V1U1      
U7         SOP8                 171.45mm        5.08mm      171.45mm        5.08mm     173.355mm        7.48mm  T        270.00 ESDA6V1U1      
P4         DHR-62M                 127mm     -0.0015mm         127mm           0mm      103.46mm        2.41mm  T        180.00 DHR-62M        
J9         DSUB1.385-2H9F       70.485mm       -1.93mm      70.485mm      -11.43mm      76.025mm       -0.51mm  T        180.00 D Connector 9  
J8         DSUB1.385-2H9F        34.29mm       -1.93mm       34.29mm      -11.43mm       39.83mm       -0.51mm  T        180.00 D Connector 9  
TP21       PG-1.5-13.5-6P-2.54PH     141.605mm      48.895mm     141.605mm      55.245mm     141.605mm      55.245mm  B        180.00 Test Point 5x2 
TP20       PG-1.5-13.5-4P-2.54PH       82.55mm       64.77mm       78.74mm       64.77mm       78.74mm       64.77mm  B        270.00 Test Point 5x2 
TP18       PG-1.5-13.5-4P-2.54PH       91.44mm      130.81mm       87.63mm      130.81mm       87.63mm      130.81mm  B        270.00 Test Point 5x2 
TP17       PG-1.5-13.5-4P-2.54PH      84.455mm     123.063mm      88.265mm     123.063mm      88.265mm     123.063mm  B         90.00 Test Point 5x2 
TP16       PG-1.5-13.5-4P-2.54PH      74.803mm     127.635mm      74.803mm     123.825mm      74.803mm     123.825mm  B        360.00 Test Point 5x2 
TP15       PG-1.5-13.5-4P-2.54PH       16.51mm       62.23mm        12.7mm       62.23mm        12.7mm       62.23mm  B        270.00 Test Point 5x2 
TP14       PG-1.5-13.5-4P-2.54PH       6.985mm      17.018mm      10.795mm      17.018mm      10.795mm      17.018mm  B         90.00 Test Point 5x2 
TP13       PG-1.5-13.5-4P-2.54PH     127.635mm      133.35mm     127.635mm      137.16mm     127.635mm      137.16mm  B        180.00 Test Point 5x2 
TP12       PG-1.5-13.5-4P-2.54PH     109.855mm      133.35mm     109.855mm      137.16mm     109.855mm      137.16mm  B        180.00 Test Point 5x2 
