Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C93        CAP1210                8.89mm       90.17mm        8.89mm       90.17mm        8.89mm      88.395mm  T         90.00 ChipCap 22u X7R
C92        CAP0603               -2.54mm      75.565mm       -2.54mm      75.565mm       -3.34mm      75.565mm  T        360.00 ChipCap 0.1u X7R
C90        CAP1210               -2.54mm      73.025mm       -2.54mm      73.025mm      -4.315mm      73.025mm  T        360.00 ChipCap 22u X7R
C91        CAP0805              97.028mm      77.978mm      97.028mm      77.978mm      97.028mm      76.978mm  T         90.00 CAP0805 0.01uF X7R
R146       RES0805              29.845mm     127.254mm      29.845mm     127.254mm      30.895mm     127.254mm  T        180.00 RES0805 100K 1%
R145       RES1206              29.845mm     116.459mm      29.845mm     116.459mm      31.395mm     116.459mm  T        180.00 RES1206 10R 1% 
C76        CAP0805              29.845mm     120.904mm      29.845mm     120.904mm       28.67mm     120.904mm  T        360.00 CAP0805 1uF X7R
C63        CAP0805              29.845mm     118.745mm      29.845mm     118.745mm       31.02mm     118.745mm  T        180.00 CAP0805 1uF X7R
U48        SOT223-4M            13.335mm     102.235mm      13.335mm     102.235mm      10.385mm     104.535mm  T          0.00 LM1117         
U2         TSSOP-28             22.225mm      119.38mm      22.225mm      119.38mm      25.175mm     115.155mm  T        180.00 TPA3112D1      
R147       RES0805              33.655mm     114.173mm      33.655mm     114.173mm      34.705mm     114.173mm  T        180.00 RES0805 100K 1%
R144       RES0805              29.845mm     112.268mm      29.845mm     112.268mm      30.895mm     112.268mm  T        180.00 RES0805 1K 1%  
R143       RES0805              29.845mm     114.173mm      29.845mm     114.173mm      30.895mm     114.173mm  T        180.00 RES0805 1K 1%  
P2         Socket_4x5.08        -0.635mm     118.745mm      -0.635mm     118.745mm      -0.635mm     126.365mm  T          0.00 Terminal Block 4x5.08mm
FB2        RES0805              13.335mm     117.729mm      13.335mm     117.729mm      14.385mm     117.729mm  T        180.00 Ferrite        
FB1        RES0805              13.335mm     121.031mm      13.335mm     121.031mm      14.385mm     121.031mm  T        180.00 Ferrite        
D2         SMB1                   7.62mm      134.62mm        7.62mm      134.62mm       9.995mm      134.62mm  T        180.00 SMP100LC-35    
C84        CAP0603               20.32mm     113.411mm       20.32mm     113.411mm       21.32mm     113.411mm  T        180.00 ChipCap 1000 NP0
C83        CAP0603              15.875mm       114.3mm      15.875mm       114.3mm      14.875mm       114.3mm  T        360.00 ChipCap 1000 NP0
C82        CAP0603              15.875mm      124.46mm      15.875mm      124.46mm      14.875mm      124.46mm  T        360.00 ChipCap 1000 NP0
C81        CAP0603               20.32mm     125.349mm       20.32mm     125.349mm       21.32mm     125.349mm  T        180.00 ChipCap 1000 NP0
C80        CAP0805               20.32mm     111.506mm       20.32mm     111.506mm      21.495mm     111.506mm  T        180.00 CAP0805 0.1uF X7R
C79        CAP0805              15.875mm     112.395mm      15.875mm     112.395mm        14.7mm     112.395mm  T        360.00 CAP0805 0.1uF X7R
C78        CAP0805               20.32mm     127.254mm       20.32mm     127.254mm      21.495mm     127.254mm  T        180.00 CAP0805 0.1uF X7R
C77        CAP0805              15.875mm     126.365mm      15.875mm     126.365mm        14.7mm     126.365mm  T        360.00 CAP0805 0.1uF X7R
C65        CAPC7343              20.32mm     102.235mm       20.32mm     102.235mm       20.32mm      98.735mm  T         90.00 Cap Pol SMD    
C64        CAPC7343              5.715mm     102.235mm       5.715mm     102.235mm       5.715mm      98.735mm  T         90.00 Cap Pol SMD    
C20        CAP0805                5.08mm     111.125mm        5.08mm     111.125mm        5.08mm       112.3mm  T        270.00 CAP0805 1000pF NP0
C18        CAP0603              15.875mm     115.951mm      15.875mm     115.951mm      16.875mm     115.951mm  T        180.00 ChipCap 0.47u X7R
C15        CAP0805                5.08mm     116.205mm        5.08mm     116.205mm        5.08mm      115.03mm  T         90.00 CAP0805 1000pF NP0
C10        CAP0805              29.845mm     123.063mm      29.845mm     123.063mm       31.02mm     123.063mm  T        180.00 CAP0805 1uF X7R
C9         CAP0603              15.875mm     122.809mm      15.875mm     122.809mm      16.875mm     122.809mm  T        180.00 ChipCap 0.47u X7R
C4         CAP0805              29.845mm     125.222mm      29.845mm     125.222mm       31.02mm     125.222mm  T        180.00 CAP0805 1uF X7R
C3         CAPPR5-10x17_1         7.62mm     127.127mm        7.62mm     127.127mm        5.12mm     127.127mm  T        360.00 Cap Pol 100/47 
R142       RES0805              74.295mm       1.905mm      74.295mm       1.905mm      73.245mm       1.905mm  B        360.00 RES0805 120R 1%
U52        SOIC8                 81.28mm      39.751mm       81.28mm      39.751mm      83.185mm      42.151mm  T        270.00 MCP2551        
C75        CAP0805               82.55mm      42.545mm       82.55mm      42.545mm      81.375mm      42.545mm  B        360.00 CAP0805 0.1uF X7R
C73        CAP0805              80.645mm       46.99mm      80.645mm       46.99mm       79.47mm       46.99mm  B        360.00 CAP0805 0.1uF X7R
C72        CAP0805              83.185mm      55.118mm      83.185mm      55.118mm      83.185mm      56.293mm  T        270.00 CAP0805 0.1uF X7R
U51        SOIC8                 81.28mm      48.895mm       81.28mm      48.895mm      83.185mm      51.295mm  T        270.00 HCPL-0931      
R12        RES0805              85.725mm      37.338mm      85.725mm      37.338mm      84.675mm      37.338mm  T        360.00 RES0805 1K 1%  
C74        CAP0805              78.105mm      42.545mm      78.105mm      42.545mm       76.93mm      42.545mm  B        360.00 CAP0805 30pF X7R
C71        CAP0805               92.71mm       85.09mm       92.71mm       85.09mm      91.535mm       85.09mm  B        360.00 CAP0805 22pF X7R
C70        CAP0805               92.71mm       78.74mm       92.71mm       78.74mm      91.535mm       78.74mm  B        360.00 CAP0805 22pF X7R
X2         KX-327NHT            93.345mm      81.915mm      93.345mm      81.915mm      93.345mm      80.665mm  B         90.00 XTAL           
L10        CDRH2D14             90.551mm     114.427mm      90.551mm     114.427mm     91.6117mm    115.4877mm  T        180.00 Inductance     
R140       RES0805              88.234mm      67.933mm      88.234mm      67.933mm      89.284mm      67.933mm  T        180.00 RES0805 10K 1% 
R139       RES0805              88.234mm      66.155mm      88.234mm      66.155mm      89.284mm      66.155mm  T        180.00 RES0805 10K 1% 
L5         IHPL-3232            -0.635mm       90.17mm      -0.635mm       90.17mm      -0.635mm     93.7827mm  T        270.00 Inductance     
RUN1       LED_0603             48.768mm      135.89mm      48.768mm      135.89mm      49.518mm      135.89mm  T        180.00 LED 0603       
PWR1       LED_0603             48.768mm      133.35mm      48.768mm      133.35mm      49.518mm      133.35mm  T        180.00 LED 0603       
LINK1      LED_0603             48.768mm      130.81mm      48.768mm      130.81mm      49.518mm      130.81mm  T        180.00 LED 0603       
C34        CAPPR7.5-16X25_1       8.255mm      36.322mm       8.255mm      36.322mm       5.005mm      36.322mm  T        360.00 Cap Pol 200/100
U46        D014_N                92.71mm      106.68mm       92.71mm      106.68mm       95.11mm      110.49mm  B        180.00 SN74AC04D      
C17        CAP0805              87.757mm      109.22mm      87.757mm      109.22mm      88.932mm      109.22mm  T        180.00 CAP0805 0.01uF X7R
R156       RES0805             149.225mm      -5.715mm     149.225mm      -5.715mm     148.175mm      -5.715mm  B          0.00 RES0805 10K 1% 
R1         RES0805              48.895mm     116.205mm      48.895mm     116.205mm      49.945mm     116.205mm  T        180.00 RES0805 10K 1% 
U27        DIP-4               31.7508mm      48.895mm     31.7508mm      48.895mm     33.0208mm      52.705mm  T        270.00 Optoisolator1  
R88        RES0805             33.0208mm      56.515mm     33.0208mm      56.515mm     33.0208mm      57.565mm  T        270.00 RES0805 330R 1%
R107       RES0805             33.0208mm      41.275mm     33.0208mm      41.275mm     33.0208mm      42.325mm  T        270.00 ChipRes        
R123       RES0805             120.015mm       36.83mm     120.015mm       36.83mm     120.015mm       37.88mm  T        270.00 RES0805 510R 1%
X1         BCY-W2/E4.7         100.965mm      92.075mm     100.965mm      92.075mm     100.965mm      89.635mm  T         90.00 XTAL           
R128       RES0805             132.715mm       36.83mm     132.715mm       36.83mm     132.715mm       35.78mm  T         90.00 RES0805 1K 1%  
R129       RES0805             135.255mm       36.83mm     135.255mm       36.83mm     135.255mm       37.88mm  T        270.00 RES0805 510R 1%
R122       RES0805             117.475mm       36.83mm     117.475mm       36.83mm     117.475mm       35.78mm  T         90.00 RES0805 1K 1%  
R124       RES0805             122.555mm       36.83mm     122.555mm       36.83mm     122.555mm       35.78mm  T         90.00 RES0805 1K 1%  
R125       RES0805             125.095mm       36.83mm     125.095mm       36.83mm     125.095mm       37.88mm  T        270.00 RES0805 510R 1%
R126       RES0805             127.635mm       36.83mm     127.635mm       36.83mm     127.635mm       35.78mm  T         90.00 RES0805 1K 1%  
R127       RES0805             130.175mm       36.83mm     130.175mm       36.83mm     130.175mm       37.88mm  T        270.00 RES0805 510R 1%
R151       RES0805              93.091mm      91.821mm      93.091mm      91.821mm      93.091mm      92.871mm  B        270.00 RES0805 10K 1% 
R45        RES0805              97.155mm      88.265mm      97.155mm      88.265mm      97.155mm      89.315mm  T        270.00 RES0805 220R 1%
R152       RES0805               85.49mm      76.395mm       85.49mm      76.395mm       85.49mm      77.445mm  B        270.00 RES0805 10K 1% 
